epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,5776.93,1.18326,0.55002,1.01871,0.98366,0.9915,0.99164,0.60592,1.27152,0.48776,0.92562,0.003862,0.003862,0.003862
95,5838.05,1.1763,0.53973,1.018,0.9838,0.99142,0.99174,0.6067,1.27246,0.49748,0.92575,0.003796,0.003796,0.003796
96,5899.24,1.18491,0.54977,1.02474,0.98368,0.99129,0.99175,0.60964,1.27125,0.50209,0.92529,0.00373,0.00373,0.00373
97,5960.53,1.17123,0.54462,1.01899,0.98378,0.99101,0.99182,0.61224,1.26622,0.49332,0.92308,0.003664,0.003664,0.003664
98,6021.94,1.16725,0.53959,1.01393,0.98395,0.99146,0.99183,0.61227,1.26547,0.50558,0.92348,0.003598,0.003598,0.003598
99,6083.16,1.1664,0.53595,1.01446,0.98338,0.99029,0.99162,0.61372,1.25986,0.48904,0.92169,0.003532,0.003532,0.003532
100,6144.55,1.16429,0.53576,1.01233,0.98278,0.99021,0.99079,0.61558,1.25831,0.48105,0.92083,0.003466,0.003466,0.003466
101,6205.88,1.16244,0.53649,1.01412,0.98259,0.99184,0.99097,0.61801,1.25335,0.47422,0.91925,0.0034,0.0034,0.0034
102,6267.11,1.14527,0.5303,1.00929,0.98406,0.99103,0.99105,0.61978,1.25177,0.47265,0.91851,0.003334,0.003334,0.003334
103,6328.35,1.15055,0.52583,1.00553,0.98343,0.99145,0.99117,0.61857,1.25123,0.47617,0.91817,0.003268,0.003268,0.003268
104,6389.56,1.1466,0.52469,1.00503,0.98344,0.99085,0.9912,0.61927,1.25281,0.47249,0.91862,0.003202,0.003202,0.003202
105,6450.7,1.14225,0.5226,1.00412,0.98386,0.99177,0.99112,0.62165,1.24606,0.46689,0.91651,0.003136,0.003136,0.003136
